model,repeat,accuracy,precision,recall,f1,macro_f1,roc_auc,pr_auc,balanced_accuracy,brier
KNN,16,0.9540816326530612,0.8518518518518519,0.8214285714285714,0.8363636363636363,0.9048287024548152,0.9349489795918369,0.8745789089375997,0.8988095238095237,0.04420745270080515
Ensemble,16,0.9030612244897959,0.6097560975609756,0.8928571428571429,0.7246376811594203,0.8329070758738277,0.9713010204081634,0.9028630291735347,0.8988095238095238,0.04261315951874928
LR,17,0.8724489795918368,0.8947368421052632,0.7285714285714285,0.8031496062992126,0.8544049918288517,0.9495464852607709,0.9308420334248036,0.8404761904761904,0.07075595191785482
SVM,17,0.8622448979591837,0.9215686274509803,0.6714285714285714,0.7768595041322314,0.8386142539111341,0.9543083900226758,0.9078295016752573,0.8198412698412698,0.07623028846390845
RF,17,0.8979591836734694,0.8472222222222222,0.8714285714285714,0.8591549295774648,0.8895774647887325,0.9614512471655328,0.9353870592389699,0.892063492063492,0.10219198368479261
ET,17,0.8775510204081632,0.8833333333333333,0.7571428571428571,0.8153846153846154,0.8618907809747505,0.9718820861678004,0.9469824569176797,0.8507936507936508,0.09206489383145211
GB,17,0.8418367346938775,0.8421052631578947,0.6857142857142857,0.7559055118110236,0.819462189867776,0.9147392290249433,0.8960074154719815,0.8071428571428572,0.13052432774138145
KNN,17,0.8112244897959183,0.7894736842105263,0.6428571428571429,0.7086614173228346,0.7845193879067003,0.8784580498866212,0.8494409204428646,0.7738095238095238,0.1328631757925894
Ensemble,17,0.8826530612244898,0.8405797101449275,0.8285714285714286,0.8345323741007195,0.8718116415958143,0.9671201814058956,0.940295375021994,0.8706349206349207,0.10493945325210541
LR,18,0.8826530612244898,0.9272727272727272,0.7285714285714285,0.816,0.8649288389513108,0.9104308390022675,0.9109708390484758,0.8484126984126984,0.10680327809286629
SVM,18,0.9132653061224489,1.0,0.7571428571428571,0.8617886178861789,0.899295795931937,0.9424036281179138,0.9343410661595045,0.8785714285714286,0.08114037185918846
RF,18,0.9081632653061225,0.9642857142857143,0.7714285714285715,0.8571428571428571,0.894736842105263,0.9469387755102041,0.9313179780851544,0.8777777777777778,0.09544071666682853
ET,18,0.8877551020408163,0.875,0.8,0.835820895522388,0.8752747888464654,0.9665532879818595,0.9473830617444424,0.8682539682539683,0.07272104387397083
GB,18,0.8928571428571429,0.8888888888888888,0.8,0.8421052631578947,0.8805120910384068,0.9468253968253968,0.9382329947644417,0.8722222222222222,0.10046454409924578
KNN,18,0.9030612244897959,0.9180327868852459,0.8,0.8549618320610687,0.8910824485975841,0.9497732426303854,0.9286648532910491,0.8801587301587301,0.08105957940939565
Ensemble,18,0.8979591836734694,0.9166666666666666,0.7857142857142857,0.8461538461538461,0.8849089841456254,0.9602040816326531,0.9435904202411998,0.873015873015873,0.0825458598486526
LR,19,0.8418367346938775,0.696969696969697,0.9857142857142858,0.8165680473372781,0.83877729721124,0.9600907029478458,0.9112443345268476,0.8738095238095238,0.06557511492200763
SVM,19,0.8826530612244898,0.821917808219178,0.8571428571428571,0.8391608391608392,0.8733956806245963,0.9475056689342404,0.9033958244785019,0.876984126984127,0.09348215888351792
RF,19,0.8622448979591837,0.7216494845360825,1.0,0.8383233532934131,0.8591616766467065,0.9905895691609977,0.9830420142481504,0.8928571428571428,0.03573883712216586
ET,19,0.8622448979591837,0.7216494845360825,1.0,0.8383233532934131,0.8591616766467065,0.9900226757369615,0.9814215110411547,0.8928571428571428,0.0340410620005709
GB,19,0.9438775510204082,0.8641975308641975,1.0,0.9271523178807947,0.9407545821769119,0.9877551020408163,0.9769061182620233,0.9563492063492063,0.045669087534994164
KNN,19,0.9285714285714286,0.8333333333333334,1.0,0.9090909090909091,0.9251336898395721,0.9961451247165533,0.9928176392550366,0.9444444444444444,0.024006630459188813
Ensemble,19,0.9336734693877551,0.8433734939759037,1.0,0.9150326797385621,0.9303196871496158,0.9900226757369615,0.9818601480894866,0.9484126984126984,0.03687268193710151
